flight_name,gate_name,status_name,departure_airport_name,departure_city,departure_country,departure_address,departure_time,arrival_airport_name,arrival_city,arrival_country,arrival_address,arrival_time,airline_name
FL123,G1,On Time,JFK,New York,USA,Queens,1/1/2023 10:00,LAX,Los Angeles,USA,1 World Way,1/1/2023 13:00,Delta
FL124,G2,Delayed,LAX,Los Angeles,USA,1 World Way,1/1/2023 14:00,JFK,New York,USA,Queens,1/1/2023 17:00,American Airlines
FL125,G3,Canceled,LHR,London,UK,Longford,1/1/2023 18:00,CDG,Paris,France,95700 Roissy-en-France,1/1/2023 20:00,British Airways
FL126,G4,On Time,CDG,Paris,France,95700 Roissy-en-France,1/2/2023 8:00,LHR,London,UK,Longford,1/2/2023 10:00,Air France
FL127,G5,Delayed,HND,Tokyo,Japan,3-3-2 Haneda Airport,1/2/2023 11:00,PEK,Beijing,China,Shunyi District,1/2/2023 13:00,All Nippon Airways
FL128,G6,On Time,PEK,Beijing,China,Shunyi District,1/2/2023 15:00,HND,Tokyo,Japan,3-3-2 Haneda Airport,1/2/2023 17:00,Air China
FL129,G7,On Time,FRA,Frankfurt,Germany,60547 Frankfurt am Main,1/2/2023 18:00,LHR,London,UK,Longford,1/2/2023 20:00,Lufthansa
FL130,G8,Canceled,SIN,Singapore,Singapore,Airport Blvd,1/3/2023 8:00,ICN,Seoul,South Korea,Jung-gu,1/3/2023 10:00,Singapore Airlines
FL131,G9,Delayed,ICN,Seoul,South Korea,Jung-gu,1/3/2023 11:00,SIN,Singapore,Singapore,Airport Blvd,1/3/2023 13:00,Korean Air
FL132,G1,On Time,SYD,Sydney,Australia,Sydney Airport,1/3/2023 14:00,DXB,Dubai,UAE,Dubai International Airport,1/3/2023 19:00,Qantas
FL133,G2,On Time,DXB,Dubai,UAE,Dubai International Airport,1/3/2023 20:00,SYD,Sydney,Australia,Sydney Airport,1/4/2023 1:00,Emirates
FL134,G3,Delayed,AMS,Amsterdam,Netherlands,Schiphol,1/4/2023 2:00,FCO,Rome,Italy,Fiumicino Airport,1/4/2023 5:00,KLM
FL135,G4,On Time,FCO,Rome,Italy,Fiumicino Airport,1/4/2023 6:00,AMS,Amsterdam,Netherlands,Schiphol,1/4/2023 9:00,Alitalia
FL136,G5,On Time,ORD,Chicago,USA,O'Hare,1/4/2023 10:00,BOM,Mumbai,India,Chhatrapati Shivaji Maharaj International Airport,1/4/2023 15:00,United Airlines
FL137,G6,On Time,BOM,Mumbai,India,Chhatrapati Shivaji Maharaj International Airport,1/4/2023 16:00,ORD,Chicago,USA,O'Hare,1/4/2023 21:00,Air India
FL138,G7,On Time,GRU,Sao Paulo,Brazil,Guarulhos,1/5/2023 8:00,MEX,Mexico City,Mexico,Benito Juarez,1/5/2023 11:00,Latam Airlines
FL139,G8,Canceled,MEX,Mexico City,Mexico,Benito Juarez,1/5/2023 12:00,GRU,Sao Paulo,Brazil,Guarulhos,1/5/2023 15:00,Aeromexico
FL140,G9,Delayed,YYZ,Toronto,Canada,Pearson,1/5/2023 16:00,BKK,Bangkok,Thailand,Suvarnabhumi,1/5/2023 21:00,Air Canada
FL141,G1,On Time,BKK,Bangkok,Thailand,Suvarnabhumi,1/5/2023 22:00,YYZ,Toronto,Canada,Pearson,1/6/2023 3:00,Thai Airways
FL142,G2,On Time,MAD,Madrid,Spain,Barajas,1/6/2023 4:00,CDG,Paris,France,95700 Roissy-en-France,1/6/2023 6:00,Iberia
FL143,G3,On Time,CDG,Paris,France,95700 Roissy-en-France,1/6/2023 7:00,MAD,Madrid,Spain,Barajas,1/6/2023 9:00,Air France
FL144,G4,Canceled,NRT,Tokyo,Japan,Narita Airport,1/6/2023 10:00,HKG,Hong Kong,Hong Kong,Chek Lap Kok,1/6/2023 13:00,Japan Airlines
FL145,G5,Delayed,HKG,Hong Kong,Hong Kong,Chek Lap Kok,1/6/2023 14:00,NRT,Tokyo,Japan,Narita Airport,1/6/2023 17:00,Cathay Pacific
FL146,G6,On Time,DXB,Dubai,UAE,Dubai International Airport,1/6/2023 18:00,SIN,Singapore,Singapore,Airport Blvd,1/6/2023 23:00,Emirates
FL147,G7,On Time,SIN,Singapore,Singapore,Airport Blvd,1/7/2023 0:00,DXB,Dubai,UAE,Dubai International Airport,1/7/2023 5:00,Singapore Airlines
FL148,G8,Delayed,LAX,Los Angeles,USA,1 World Way,1/7/2023 6:00,HND,Tokyo,Japan,3-3-2 Haneda Airport,1/7/2023 9:00,Delta
FL149,G9,Canceled,HND,Tokyo,Japan,3-3-2 Haneda Airport,1/7/2023 10:00,LAX,Los Angeles,USA,1 World Way,1/7/2023 13:00,All Nippon Airways
FL150,G1,On Time,JFK,New York,USA,Queens,1/7/2023 14:00,LHR,London,UK,Longford,1/7/2023 18:00,British Airways
FL151,G2,On Time,LHR,London,UK,Longford,1/7/2023 19:00,JFK,New York,USA,Queens,1/7/2023 23:00,American Airlines
FL152,G3,Delayed,ORD,Chicago,USA,O'Hare,1/8/2023 8:00,FRA,Frankfurt,Germany,60547 Frankfurt am Main,1/8/2023 12:00,United Airlines
FL153,G4,On Time,FRA,Frankfurt,Germany,60547 Frankfurt am Main,1/8/2023 13:00,ORD,Chicago,USA,O'Hare,1/8/2023 17:00,Lufthansa
FL154,G5,Canceled,BOM,Mumbai,India,Chhatrapati Shivaji Maharaj International Airport,1/8/2023 18:00,DXB,Dubai,UAE,Dubai International Airport,1/8/2023 20:00,Air India
FL155,G6,On Time,DXB,Dubai,UAE,Dubai International Airport,1/8/2023 21:00,BOM,Mumbai,India,Chhatrapati Shivaji Maharaj International Airport,1/8/2023 23:00,Emirates
FL156,G7,On Time,SYD,Sydney,Australia,Sydney Airport,1/9/2023 8:00,ICN,Seoul,South Korea,Jung-gu,1/9/2023 12:00,Qantas
FL157,G8,Delayed,ICN,Seoul,South Korea,Jung-gu,1/9/2023 13:00,SYD,Sydney,Australia,Sydney Airport,1/9/2023 17:00,Korean Air
FL158,G9,On Time,JFK,New York,USA,Queens,1/9/2023 18:00,AMS,Amsterdam,Netherlands,Schiphol,1/10/2023 1:00,Delta
FL159,G1,On Time,AMS,Amsterdam,Netherlands,Schiphol,1/10/2023 2:00,JFK,New York,USA,Queens,1/10/2023 9:00,KLM
FL160,G2,Delayed,FCO,Rome,Italy,Fiumicino Airport,1/10/2023 10:00,NRT,Tokyo,Japan,Narita Airport,1/10/2023 18:00,Alitalia
FL161,G3,On Time,NRT,Tokyo,Japan,Narita Airport,1/10/2023 19:00,FCO,Rome,Italy,Fiumicino Airport,1/11/2023 3:00,Japan Airlines
